Class #,Subject,Cat#,Sect#,Course Name,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Classroom Type,Room #
57571,"""","""","""",Recitation,1.0,Madiha Farman,,,,,Regular Classroom (30 Cap),
50035,MATH,181,602,Calculus I,5.0,Muhammad Jamil,30,,,,Regular Classroom (46 Cap),
50035,"""","""","""",Recitation,1.0,Muhammad Jamil,,,,,Regular Classroom (30 Cap),
57409,MATH,181,603,Calculus I,5.0,TBD,30,TR,15:00:00,16:50:00,Regular Classroom (30 Cap),
57409,',',,Recitation,1.0,TBD,,R,16:55:00,17:50:00,Regular Classroom (30 Cap),
50036,MATH,182,600,Calculus II,5.0,Jameel Maki,30,,,,Regular Classroom (46 Cap),C-209 or C-210
50036,"""","""","""",Recitation,1.0,Madiha Farman,,,,,Regular Classroom (30 Cap),
50037,MATH,182,601,Calculus II,5.0,Jameel Maki,30,TR,13:30:00,15:20:00,,
57567,"""","""","""",Recitation,1.0,Madiha Farman,,R,15:25:00,16:20:00,,
50331,MATH,182,602,Calculus II,5.0,Ali Sayyad,30,,,,Regular Classroom (30 Cap),
57568,"""","""","""",Recitation,1.0,Madiha Farman,,,,,Regular Classroom (30 Cap),
50402,MATH,182,603,Calculus II,5.0,Ali Sayyad,30,,,,Regular Classroom (46 Cap),
50402,"""","""","""",Recitation,1.0,Madiha Farman,,,,,Regular Classroom (46 Cap),
,MATH,182,604,Calculus II,6.0,TBD,,,,,,
,"""","""","""",Recitation,2.0,TBD,,,,,,
50459,MATH,190,600,Discrete Mathematics for Computing,3.0,Jeya Kumar,30,,,,Regular Classroom (30 Cap),
50460,"""","""",60R1,Recitation,1.0,,30,online,TBD,TBD,,
57233,MATH,190,601,Discrete Mathematics for Computing,3.0,Abdul Kareem Yaseen,30,,,,Regular Classroom (46 Cap),
57234,"""","""",60R2,Recitation,1.0,,,,,,,
,MATH,190,602,Discrete Mathematics for Computing,3.0,TBD,,MW,16:05:00,17:25:00,Regular Classroom (30 Cap),
,"""","""",60R3,Recitation,1.0,,,,,,,
50038,MATH,219,600,Multivariable Calculus,3.0,Salameh Ahmad,30,,,,Regular Classroom (30 Cap),
50244,MATH,220,600,Vector Calculus,1.0,Manisha Kankarej,30,,,,Regular Classroom (30 Cap),
57235,MATH,221,600,Multivar & Vector Calculus,4.0,Salameh Ahmad,30,,,,Regular Classroom (30 Cap),
50039,MATH,231,600,Differential Equations,3.0,Borghol,30,,,,Regular Classroom (46 Cap),C-209 or C-210
,MATH,231,601,Differential Equations,3.0,Borghol,30,TR,12:00:00,13:20:00,,
50040,MATH,233,600,Linear Systems and Diff Eq,4.0,Manisha Kankarej,30,,,,Regular Classroom (46 Cap),
50041,MATH,241,600,Linear Algebra,3.0,Borghol,30,,,,Regular Classroom (46 Cap),C-209 or C-210
50176,MATH,241,601,Linear Algebra,3.0,Borghol,30,,,,Regular Classroom (46 Cap),C-209 or C-210
57733,MATH,241,602,Linear Algebra,3.0,Borghol,30,,,,,any class to have 15 to 18 seats if possible.
50045,PHYS,111,600,College Physics I (will not be offered),4.0,Ahmad,30,TR,09:00:00,10:50:00,,
50046,PHYS,111,60L1,College Physics I Workshop (will not be offered),2.0,TBD,30,W,15:00:00,16:50:00,,
50047,PHYS,211,600,Univ Physics I,6.0,Ahmad,30,,,,Regular Classroom (46 Cap),
50048,PHYS,212,600,Univ Physics II,6.0,Ahmad,30,,,,Regular Classroom (30 Cap),
57417,PHYS,212,601,Univ Physics II,6.0,Ahmad (please cancel this section as per agreed with Ellen,30,,,,,
50042,STAT,145,600,Introduction to Statistics I,3.0,Manisha Kankarej,30,,,,Regular Classroom (46 Cap),
50333,STAT,145,601,Introduction to Statistics I,3.0,Manisha Kankarej,30,,,,Regular Classroom (46 Cap),
50384,STAT,145,602,Introduction to Statistics I,3.0,Muhammad Jamil,30,,,,Regular Classroom (46 Cap),
57226,STAT,145,603,Introduction to Statistics I,3.0,Abdul Kareem Yaseen,30,,,,Regular Classroom (30 Cap),
,STAT,145,604,Introduction to Statistics I,3.0,TBD,30,MW,14:35:00,15:55:00,Regular Classroom (30 Cap),
50043,STAT,146,600,Introduction to Statistics II,4.0,Jameel Maki,30,,,,Open Computer Lab (E218),one of the computer labs
50138,STAT,146,601,Introduction to Statistics II,4.0,Muhammad Jamil,30,,,,Open Computer Lab (E218),one of the computer labs
50385,STAT,146,602,Introduction to Statistics II,4.0,Jameel Maki,30,TR,15:00:00,16:50:00,Open Computer Lab (E218),one of the computer labs
50044,STAT,205,600,Applied Statistics,3.0,Manisha Kankarej,30,,,,Regular Classroom (30 Cap),
