Class #,Subject,Cat#,Sect#,Course Name,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Classroom Type,Room #
16800.0,NSSA,241,60L1,Intro Routing & Switching Lab,2,Osama Abdulrahman,25,M,09:00:00,10:50:00,Computer Networking Lab (D313),
16958.0,NSSA,241,601,Intro Routing & Switching,2,Abdul-Latif,25,T,13:30:00,15:30:00,Regular Classroom (30 Cap),
16959.0,NSSA,241,60L2,Intro Routing & Switching Lab,2,Osama Abdulrahman,25,R,13:30:00,15:30:00,Computer Networking Lab (D313),
17099.0,NSSA,241,602,Intro Routing & Switching,2,Abdul-Latif,25,M,09:00:00,10:50:00,Regular Classroom (30 Cap),
17100.0,NSSA,241,60L3,Intro Routing & Switching Lab,2,Osama Abdulrahman,25,W,09:00:00,10:50:00,Computer Networking Lab (D313),
17550.0,NSSA,241,603,Intro Routing & Switching,2,Abdul-Latif,25,W,14:35:00,16:25:00,Regular Classroom (30 Cap),
17551.0,NSSA,241,60L4,Intro Routing & Switching Lab,2,Osama Abdulrahman,25,M,14:35:00,16:25:00,Computer Networking Lab (D313),
17722.0,SWEN,331,600,Engineering Secure Software,3,Saadeh,30,TR,12:00:00,13:20:00,Regular Classroom (30 Cap),
17053.0,SWEN,261,600,Intro to Software Engineering,3,TBD,30,TR,12:00:00,13:20:00,Regular Classroom (30 Cap),
17505.0,SWEN,256,600,Software Process and Project Management,3,TBD,30,TR,12:00:00,13:20:00,Regular Classroom (30 Cap),
17919.0,SWEN,344,600,Engineering of Web-based Software Systems,3,TBD,30,TR,12:00:00,13:20:00,Regular Classroom (30 Cap),
17919.0,SWEN,344,600,BS COMPUTING SECURITY,3,TBD,30,TR,12:00:00,13:20:00,Regular Classroom (30 Cap),
16943.0,CSEC,99,600,Coop Education Seminar,1,Daswani,30,R,13:55:00,14:50:00,Regular Classroom (30 Cap),
16909.0,CSEC,140,600,Introduction to Cybersecurity,3,Hasan,30,TR,12:00:00,13:20:00,Regular Classroom (30 Cap),
16917.0,CSEC,140,601,Introduction to Cybersecurity,3,Hasan,30,MWF,11:10:00,12:05:00,Regular Classroom (30 Cap),
17102.0,CSEC,140,602,Introduction to Cybersecurity,3,TBD,30,TR,09:00:00,10:20:00,,
16828.0,CSEC,201,600,Programming for Information Security,3,Saadeh,30,TR,10:30:00,11:50:00,Regular Classroom (30 Cap),
17048.0,CSEC,201,601,Programming for Information Security,3,Saadeh,30,MW,13:05:00,14:25:00,Regular Classroom (30 Cap),
